2026-06-09 11:21:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 11:25:57 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 11:26:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.219.204.168
2026-06-09 11:28:57 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.219.204.168
2026-06-09 11:29:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 11:29:57 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.219.204.177
2026-06-09 11:31:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.214.169.19
2026-06-09 11:31:57 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.214.169.19
2026-06-09 11:33:17 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 11:43:16 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.214.169.19
2026-06-09 11:50:36 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=instagram.com
2026-06-09 11:50:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=instagram.com
2026-06-09 11:53:06 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-09 11:56:06 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 12:56:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 13:00:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 13:01:06 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:04:26 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:04:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:05:16 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:05:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 13:06:26 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=23.214.169.21
2026-06-09 13:06:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=23.214.169.21
2026-06-09 13:11:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=23.214.169.21
2026-06-09 13:13:46 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=23.214.169.21
2026-06-09 13:14:06 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=23.214.169.21
2026-06-09 13:16:46 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktokv.com
2026-06-09 13:16:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:19:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktokv.com
2026-06-09 13:20:06 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktokv.com
2026-06-09 13:20:26 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=23.53.15.136
2026-06-09 13:21:36 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 13:22:16 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktokv.com
2026-06-09 13:22:36 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktokv.com
2026-06-09 13:24:36 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 13:24:46 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 13:25:06 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=e28622.a.akamaiedge.net
2026-06-09 13:25:36 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:28:46 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:29:06 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:30:16 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:30:26 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
